author,text,like_count,published_at
@eugenlow7730,aisec is loce aiesec is life,1,2024-08-24T13:24:36Z
@eugenlow7730,i love aiesec,1,2024-08-24T13:23:51Z
@fridasofiasantistebanmartinez,"Aun lo sigo viendo, y me hace recordar aquellos tiempos cuando en mi comité AIESEC en Chiclayo bailábamos este Roll Call Challenge. &lt;3  Hey AIESEC!",0,2024-05-03T04:01:23Z
@emanuelherreraalvarez1312,2023 and dancing alone in my room! :&#39;) Now as an Alumni haha.,1,2023-08-10T00:28:41Z
@kiranmenon4295,How many times did you watch it?<br>Yes.,1,2022-10-14T23:01:32Z
@mat120594,"I really miss my AIESEC’s days, my fav roll call<br><br>Cheers from Brazil",13,2022-09-04T01:14:40Z
@cynthiachirinos1230,Happy memories ♥️,1,2022-04-29T02:24:49Z
@FM-for13,What&#39;s the song name??,0,2021-01-20T03:09:23Z
@oksana.arkhypchuk,"MCP 2007-2008 :)) Three kids now, full time project, came across this dance and I love it! I&#39;m adding it to my AIESEC dances morning workout routine :)) (before the kids wake up :))) Lots of love from Ukraine! Hey AIESEC!",43,2021-01-16T09:47:20Z
@alexandreq.f.q6855,"2020 Watching since 2015, don´t get tired, start dancing, get up and go, always:) Love it.",2,2020-12-12T17:28:33Z
@ninonchiang,很棒喔,1,2020-08-04T03:13:46Z
@hassanmohamady3420,What a nostalgia &lt;3,3,2020-06-04T12:52:06Z
@putrikumala9603,I do miss this!,0,2020-04-11T16:35:51Z
@zeinabibrahim,"Really miss AIESEC,  adore that dance",0,2020-02-15T20:59:27Z
@altaygok6555,Best roll call ever... greetings from AIESEC in Izmir,4,2019-09-15T19:51:22Z
@kaskacedro1972,Was good to be in AIESEC 😊,1,2019-07-28T12:04:54Z
@emanuelherreraalvarez1312,2019 and dancing alone now from my office in MC Mexico. :),4,2019-05-06T22:37:24Z
@ifikgandamana4386,cool,0,2018-11-05T08:04:06Z
@riaddahlab9759,i love it ..... FROM AIESEC Algeria,0,2018-10-22T15:20:01Z
@riaddahlab9759,"<a href=""http://www.youtube.com/results?search_query=%23aiesecalgeria"">#aiesecalgeria</a>",0,2018-09-13T16:00:53Z
@petektaysi9731,"love this roll call <a href=""http://www.youtube.com/results?search_query=%23aiesecturkey"">#AIESECTurkey</a>",0,2018-07-01T17:57:36Z
@agostinasastre629,Still dancing to this one in 2018,0,2018-01-17T15:24:16Z
@leilaeshgi5769,Wow we dancing this in the scholl,0,2017-09-28T20:43:39Z
@ishaanj6064,KARIM IS A LEGEND!!!!!!!,0,2017-09-03T11:34:02Z
@hongbaojohn23,"Hi, My Name is Harry John. I have been teaching in China for five years. <br>Now, I am working as a freelance recruitment assistant for ESL China. We accept Native and Non-Native English speakers. Finding a teaching job in PRC can be very challenging but because of my personal network, I can  certainly help you get the right school for you. If you are interested to get a job in China without going through so much hassle, send me your CV for initial assessment and I will find the best employer for you. Send your Cv to sebastianhjv@<a href=""http://gmail.com/"">gmail.com</a> or you can add my Wechat (theflashzz).",0,2017-08-23T05:25:19Z
@theumbrellanetwork4849,You moutha fuckers are a cult,0,2017-08-01T12:08:15Z
@m_psr,The cutest Roll Call EVER!!!  <b><del>--</del></b>,0,2017-06-21T14:04:01Z
@egeserif9520,Very nice dance,0,2017-05-12T10:13:01Z
@OhMeGaGS,Good memories,0,2017-04-06T13:37:30Z
@Cancan23275,垃圾狗屎你去根Bigbang比比看！跳的根SB一样什么狗，看看这狗屎身材,1,2017-02-14T18:25:31Z
@okokhosbayar,Such a nostalgic. I do miss AIESEC and being an AIESECer &lt;3.,56,2017-02-13T13:18:14Z
@Arushd4441,LOOK AT YOU GO GORDON!!!! &lt;3,0,2017-02-04T06:08:14Z
@AamirKhan-wf4hb,fantastic!,0,2017-01-29T11:19:47Z
@stefannedeljkovic8553,whats the song in the video???,2,2016-12-14T16:36:04Z
